timestamp,elapsed_sec,latency_ms,type
1767954780.5047367,1137.11,0.68,send_ack_simulated
1767954780.5052216,1137.11,0.03,send_ack_simulated
1767954780.5057366,1137.11,0.51,send_ack_simulated
1767954780.5060587,1137.11,0.58,send_ack_simulated
1767954780.5063872,1137.11,0.06,send_ack_simulated
1767954780.5067017,1137.12,0.38,send_ack_simulated
1767954780.507043,1137.12,0.33,send_ack_simulated
1767954780.5072758,1137.12,0.30,send_ack_simulated
1767954780.5076094,1137.12,0.03,send_ack_simulated
1767954780.5078623,1137.12,0.02,send_ack_simulated
1767954780.508025,1137.12,0.25,send_ack_simulated
1767954808.51864,1165.13,0.03,send_ack_simulated
1767954808.519285,1165.13,0.49,send_ack_simulated
1767954808.52091,1165.13,0.03,send_ack_simulated
1767954808.5217674,1165.13,0.02,send_ack_simulated
1767954808.5223114,1165.13,0.46,send_ack_simulated
1767954808.5230243,1165.13,0.79,send_ack_simulated
1767954808.5232375,1165.13,0.35,send_ack_simulated
1767954808.523476,1165.13,0.22,send_ack_simulated
1767954836.5343995,1193.14,0.04,send_ack_simulated
1767954836.5363407,1193.14,0.71,send_ack_simulated
1767954836.537418,1193.15,0.02,send_ack_simulated
1767954836.5377657,1193.15,0.02,send_ack_simulated
1767954836.5381622,1193.15,0.46,send_ack_simulated
1767954836.538423,1193.15,0.04,send_ack_simulated
1767954836.5388627,1193.15,0.03,send_ack_simulated
1767954836.5392532,1193.15,0.03,send_ack_simulated
1767954836.5396833,1193.15,0.77,send_ack_simulated
1767954836.539907,1193.15,0.02,send_ack_simulated
1767954864.5527477,1221.16,0.80,send_ack_simulated
1767954864.5543687,1221.16,1.77,send_ack_simulated
1767954864.5550132,1221.16,1.24,send_ack_simulated
1767954864.5554652,1221.16,0.56,send_ack_simulated
1767954864.5558572,1221.16,0.08,send_ack_simulated
1767954864.556222,1221.16,0.03,send_ack_simulated
1767954864.5564811,1221.16,0.84,send_ack_simulated
1767954864.556752,1221.17,0.38,send_ack_simulated
1767954864.5569818,1221.17,0.29,send_ack_simulated
1767954864.5571713,1221.17,0.08,send_ack_simulated
1767954864.5573676,1221.17,0.03,send_ack_simulated
1767954864.5577729,1221.17,0.39,send_ack_simulated
1767954864.5579994,1221.17,0.38,send_ack_simulated
1767954864.5583,1221.17,0.02,send_ack_simulated
1767954864.5584764,1221.17,0.06,send_ack_simulated
1767954864.558709,1221.17,0.02,send_ack_simulated
1767954864.5588758,1221.17,0.13,send_ack_simulated
1767954892.5693865,1249.18,0.29,send_ack_simulated
1767954892.5707035,1249.18,1.40,send_ack_simulated
1767954892.5714962,1249.18,0.07,send_ack_simulated
1767954892.5720043,1249.18,0.28,send_ack_simulated
1767954892.572337,1249.18,0.08,send_ack_simulated
1767954892.572699,1249.18,1.26,send_ack_simulated
1767954892.5729373,1249.18,0.51,send_ack_simulated
1767954892.5732396,1249.18,0.69,send_ack_simulated
1767954892.5738099,1249.18,0.47,send_ack_simulated
1767954892.5741313,1249.18,0.76,send_ack_simulated
1767954892.5743868,1249.18,0.03,send_ack_simulated
1767954920.585116,1277.19,0.10,send_ack_simulated
1767954920.5857344,1277.19,0.84,send_ack_simulated
1767954920.5867577,1277.20,0.72,send_ack_simulated
1767954920.588502,1277.20,2.65,send_ack_simulated
1767954920.589668,1277.20,0.59,send_ack_simulated
1767954920.5904803,1277.20,0.39,send_ack_simulated
1767954920.5908751,1277.20,0.55,send_ack_simulated
1767954920.591092,1277.20,0.39,send_ack_simulated
1767954920.5913982,1277.20,0.11,send_ack_simulated
1767954948.605326,1305.21,0.15,send_ack_simulated
1767954948.606923,1305.22,0.63,send_ack_simulated
1767954948.6079905,1305.22,0.03,send_ack_simulated
1767954948.6095006,1305.22,1.71,send_ack_simulated
1767954948.60988,1305.22,1.78,send_ack_simulated
1767954948.6101723,1305.22,1.75,send_ack_simulated
1767954948.6104448,1305.22,0.33,send_ack_simulated
1767954948.61065,1305.22,0.10,send_ack_simulated
1767954948.6108508,1305.22,0.15,send_ack_simulated
1767954948.6111033,1305.22,0.18,send_ack_simulated
1767954976.6217773,1333.23,0.75,send_ack_simulated
1767954976.6228507,1333.23,0.45,send_ack_simulated
1767954976.6235762,1333.23,1.43,send_ack_simulated
1767954976.6244967,1333.23,1.09,send_ack_simulated
1767954976.6254256,1333.23,0.45,send_ack_simulated
1767954976.6258092,1333.23,0.02,send_ack_simulated
1767954976.6260502,1333.23,1.06,send_ack_simulated
1767954976.6264024,1333.23,0.04,send_ack_simulated
1767954976.6269996,1333.24,0.79,send_ack_simulated
1767954976.6274621,1333.24,0.55,send_ack_simulated
1767954976.6278937,1333.24,0.69,send_ack_simulated
1767954976.6286411,1333.24,0.36,send_ack_simulated
1767954976.6290755,1333.24,0.26,send_ack_simulated
1767954976.6295393,1333.24,0.03,send_ack_simulated
1767954976.6299157,1333.24,0.03,send_ack_simulated
1767955004.6365156,1361.24,1.43,send_ack_simulated
1767955004.6381469,1361.25,0.04,send_ack_simulated
1767955004.6397505,1361.25,0.39,send_ack_simulated
1767955004.640581,1361.25,1.63,send_ack_simulated
1767955004.642971,1361.25,0.02,send_ack_simulated
1767955004.6433918,1361.25,0.54,send_ack_simulated
1767955004.643766,1361.25,0.04,send_ack_simulated
1767955004.644035,1361.25,0.03,send_ack_simulated
1767955004.644254,1361.25,0.37,send_ack_simulated
1767955032.6535842,1389.26,1.15,send_ack_simulated
1767955032.656137,1389.26,1.00,send_ack_simulated
1767955032.6570823,1389.27,0.12,send_ack_simulated
1767955032.6589658,1389.27,1.77,send_ack_simulated
1767955032.6596994,1389.27,0.73,send_ack_simulated
1767955032.6601565,1389.27,0.30,send_ack_simulated
1767955032.660303,1389.27,0.74,send_ack_simulated
1767955032.6604831,1389.27,0.02,send_ack_simulated
1767955032.6607423,1389.27,0.06,send_ack_simulated
1767955032.6610312,1389.27,0.07,send_ack_simulated
1767955032.661165,1389.27,0.05,send_ack_simulated
1767955060.670223,1417.28,0.82,send_ack_simulated
1767955060.673256,1417.28,0.07,send_ack_simulated
1767955060.6739137,1417.28,0.99,send_ack_simulated
1767955060.674416,1417.28,0.30,send_ack_simulated
1767955060.6749425,1417.28,0.03,send_ack_simulated
